hand,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,10_win,2_tie,3_tie,4_tie,5_tie,6_tie,7_tie,8_tie,9_tie,10_tie,EV_2p,rec_2p,tag_2p,EV_3p,rec_3p,tag_3p,EV_4p,rec_4p,tag_4p,EV_5p,rec_5p,tag_5p,EV_6p,rec_6p,tag_6p,EV_7p,rec_7p,tag_7p,EV_8p,rec_8p,tag_8p,EV_9p,rec_9p,tag_9p,EV_10p,rec_10p,tag_10p
T3s,0.4338279068470001,0.2774892747402191,0.2070696949958801,0.1665180474519729,0.1400433033704757,0.12143033,0.1076126992702484,0.096905164,0.088294044,0.02314458,0.01673747,0.014018988,0.012833511,0.012155525,0.011654124,0.011239097,0.010881519,0.010555253,-0.109199606,Fold,Speculative,-0.14242597,Fold,Speculative,-0.143683244,Fold,Speculative,-0.135325984,Fold,Speculative,-0.123273604,Fold,Speculative,-0.109198257,Fold,Speculative,-0.094142016,Fold,Speculative,-0.078886685,Fold,Speculative,-0.064283292,Fold,Speculative
T2s,0.4254422783851623,0.2702547013759613,0.201531708,0.1625168174505233,0.1372501254081726,0.1195216253399849,0.1063319891691207,0.096066698,0.087783039,0.022997677,0.01630649,0.013405199,0.012091258,0.011327544,0.010780218,0.01033796,0.009966152,0.009637881,-0.126117766,Fold,Speculative,-0.164776161,Fold,Speculative,-0.167062769,Fold,Speculative,-0.157187769,Fold,Speculative,-0.142516615,Fold,Speculative,-0.125617859,Fold,Speculative,-0.107992247,Fold,Speculative,-0.090552031,Fold,Speculative,-0.073980208,Fold,Speculative
9Ao,0.5945077538490295,0.4006677865982055,0.2952704727649688,0.2310792505741119,0.1878688037395477,0.1566277146339416,0.1328796744346618,0.1142472103238105,0.099333331,0.013229711,0.015141138,0.01520933,0.014822744,0.014373296,0.013922431,0.013462617,0.012990851,0.012489303,0.2022452186793089,Call,Strong,0.2247150666080413,Call,Strong,0.21150055155157998,Call,Strong,0.19245311245322205,Call,Strong,0.17033271025866226,Call,Strong,0.14512250944971972,Call,Strong,0.11688786372542337,Call,Strong,0.086683722,Call,Speculative,0.055779825,Call,Speculative
9Ko,0.5640895366668701,0.3778995275497436,0.280917615,0.2218503504991531,0.181504026,0.1518785208463668,0.1291634142398834,0.111267939,0.096924052,0.014045389,0.014483918,0.013896874,0.013318935,0.012865489,0.01249586,0.012151593,0.011808416,0.011450891,0.14222446270287037,Call,Strong,0.15542445890605427,Call,Strong,0.15146420709788777,Call,Strong,0.14254909101873592,Call,Strong,0.12762062437832333,Call,Strong,0.10688515752553851,Call,Strong,0.081913687,Call,Speculative,0.054549324,Call,Speculative,0.026494973,Call,Speculative
9Qo,0.5386286973953247,0.361153245,0.2707639336585998,0.2150499671697616,0.1764399707317352,0.1479365825653076,0.1261266767978668,0.1090573221445083,0.095478848,0.014988609,0.014294871,0.013429484,0.012869638,0.012495179,0.012194357,0.011910174,0.011628034,0.011343476,0.092246003,Call,Speculative,0.10490204161033034,Call,Strong,0.1099147032946346,Call,Strong,0.10742393182590582,Call,Strong,0.096125361,Call,Speculative,0.078236327,Call,Speculative,0.056654111,Call,Speculative,0.03384205,Call,Speculative,0.011505858041346073,Call,Speculative
9Jo,0.5164138674736023,0.3494036495685577,0.2650664150714874,0.2120665311813354,0.1748731583356857,0.1473556160926818,0.1263885200023651,0.1100923046469688,0.097205877,0.01612013,0.014266605,0.013290018,0.01284426,0.012585631,0.012368489,0.012152328,0.011932319,0.011713567,0.048947865,Call,Speculative,0.069610857,Call,Speculative,0.086845696,Call,Speculative,0.092443306,Call,Speculative,0.086995842,Call,Speculative,0.074779024,Call,Speculative,0.059717473,Call,Speculative,0.044526177,Call,Speculative,0.030626608990132143,Call,Speculative
9To,0.4981390833854675,0.3421922922134399,0.2629843950271606,0.2120130658149719,0.1758728772401809,0.1491636037826538,0.1289358884096145,0.113280714,0.1009480059146881,0.017167423,0.014278846,0.013339751,0.013067298,0.012927557,0.012785472,0.012624597,0.012470964,0.012323455,0.013445589691400306,Call,Speculative,0.047995145,Call,Speculative,0.078617083,Call,Speculative,0.092733573,Call,Speculative,0.094019935,Call,Speculative,0.088894378,Call,Speculative,0.081985496,Call,Speculative,0.075645762,Call,Speculative,0.071097334,Call,Speculative
99o,0.716686487,0.5327619910240173,0.4082332253456116,0.3226543068885803,0.2630116641521454,0.2208447456359863,0.1905670911073684,0.1684311181306839,0.1519364416599273,0.003914379,0.003335804,0.003239965,0.003284376,0.003369943,0.003461018,0.003546054,0.003618279,0.003674316,0.4372873534448445,Raise,Strong,0.6032896786928177,Raise,Premium,0.639412831,Raise,Premium,0.6214824735652653,Raise,Premium,0.5881798139307646,Raise,Premium,0.5580267839832227,Raise,Premium,0.5387209448963397,Raise,Premium,0.5321623197523877,Raise,Premium,0.5377359942067408,Raise,Premium
98s,0.4886093139648437,0.3453600108623504,0.2717370092868805,0.2242101281881332,0.1909569054841995,0.1667647659778595,0.1486251950263977,0.1345951408147812,0.1234345212578773,0.019441064,0.014446087,0.012907139,0.012235885,0.011747671,0.011317761,0.010950384,0.010643149,0.010399451,-0.003340308,Fold,Speculative,0.057749163,Call,Speculative,0.11276231519877888,Call,Strong,0.15164035232737616,Call,Strong,0.18098444677889325,Call,Strong,0.20696552423760273,Call,Strong,0.2328030951321125,Call,Strong,0.25925043690949656,Call,Strong,0.2863424699753516,Call,Strong
97s,0.4698618054389953,0.3254020512104034,0.2531549334526062,0.207637534,0.1764375120401382,0.1540473103523254,0.1373913586139679,0.1245517954230308,0.1143174245953559,0.021274563,0.015282698,0.013346791,0.012504585,0.011925537,0.01144669,0.011048281,0.010721667,0.010461497,-0.039001826,Fold,Speculative,-0.000869799,Fold,Speculative,0.039313316345214844,Call,Speculative,0.06944913,Call,Speculative,0.094401684,Call,Speculative,0.11839458812028125,Call,Strong,0.1433239914476867,Call,Strong,0.1692136591300364,Call,Strong,0.19548173155635507,Call,Strong
